"","Dividend"
"PFG",1.56
"PG",2.666
"PGR",0.888
"PLD",1.66
"PRU",2.8
"PEG",1.62
"PSA",5.3
"PHM",0.36
"PVH",0.152
"QRVO",0
"PWR",0
"QCOM",2.02
"DGX",1.58
"RRC",0.1
"RTN",3.539
"O",2.372
"RHT",0
"REGN",0
"RF",0.25
"RSG",1.22
"RAI",1.66
"RHI",0.86
"ROK",2.9
"COL",1.32
"ROP",1.15
"ROST",0.523
"RCL",1.605
"R",1.67
"CRM",0
"SCG",2.27
"SLB",2
"SNI",0.98
"STX",2.52
"SEE",0.58
"SRE",2.965
"SHW",3.19
"SIG",0.96
"SPG",6.45
"SWKS",1.06
"SLG",2.88
"SJM",2.76
"SNA",2.44
"SO",2.206
"LUV",0.35
"SWN",0
"SE",1.585
"SPGI",1.41
"STJ",1.22
"SWK",2.23
"SPLS",0.48
"SBUX",0.8
"STT",1.4
"SRCL",0
"SYK",1.52
"STI",0.98
"SYMC",4.45
"SYF",0.13
"SYY",0.93
"TROW",2.14
"TGT",2.28
"TEL",0
"TGNA",0.56
"TDC",0
"TSO",2.05
"TXN",1.52
"TXT",0.08
"COO",0.06
"HSY",2.367
"TRV",2.56
"TMO",0.6
"TIF",1.7
"TWX",1.559
"TJX",0.94
"TMK",0.415
"TSS",0.4
"TSCO",0.88
"TDG",0
"RIG",0
"TRIP",0
"FOXA",0.33
"FOX",0.33
"TSN",0.6
"UDR",1.146
"ULTA",0
"USB",1.045
"UA",0
"UA.C",0
"UNP",2.2
"UAL",0
"UNH",2.25
"UPS",3.07
"URI",0
"UTX",2.6
"UHS",0.4
"UNM",0.755
"URBN",0
"VFC",1.48
"VLO",2.3
"VAR",0
"VTR",2.92
"VRSN",0
"VRSK",0
"VZ",2.26
"VRTX",0
"VIAB",1.4
"V",0.56
"VNO",2.52
"VMC",0.7
"WMT",1.99
"WBA",1.455
"DIS",1.42
"WM",1.615
"WAT",0
"WFC",1.51
"HCN",3.405
"WDC",2
"WU",0.635
"WRK",1.5
"WY",1.24
"WHR",3.8
"WFM",0.54
"WMB",2.12
"WLTW",1.44
"WEC",1.943
"WYN",1.92
"WYNN",2
"XEL",1.34
"XRX",0.304
"XLNX",1.28
"XL",1
"XYL",0.606
"YHOO",0
"YUM",1.84
"ZBH",0.94
"ZION",0.26
"ZTS",0.368
"VIG",1.724
"VUG",1.432
"VYM",2.138
"VV",1.938
"MGC",1.586
"MGK",1.276
"MGV",1.634
"VOO",3.934
"VTI",2.071
"VTV",2.166
"VXF",1.229
"VO",1.868
"VOT",0.889
"VOE",1.786
"VB",1.807
"VBK",1.277
"VBR",2.086
"ABI.BR",3.6
"CA.PA",0.7
"AI.PA",2.6
"ORA.PA",0.6
"ENEL.MI",0.16
"PHIA.AS",0.8
"DTE.DE",1.08
"EI.PA",1.11
"IBE.MC",0.187
"OR.PA",3.1
"BN.PA",1.6
"SU.PA",2
"ITX.MC",0.742
"SAF.PA",1.38
"SAN.PA",1.7
"BBVA.MC",0.53
"ALV.DE",14.6
"ENGI.PA",1
"MC.PA",3.55
"ENI.MI",0.8
"BNP.PA",2.31
"G.MI",0.72
"DPW.DE",0.85
"AIR.PA",1.3
"ASML.AS",1.05
"INGA.AS",1.06
"BAYN.DE",2.5
"FRE.DE",0.55
"BMW.DE",3.2
"DBK.DE",0
